Klagenummer,AZ VG,Eingang,Land,Vertretung,Klagegrund,Zusatz,Datum VG,OVG Geschäftszeichen,Datum OVG,PKH Geschäftszeichen,Datum PKH,BVerwG Geschäftszeichen,Datum BVerwG
49965,VG 18 L 0286/22 V,8/15/2022,Algerien,Algier,FZ-E,,9/23/2022,,,,,,
2022/2486,VG 37 K 0161/22 V,8/15/2022,Iran,Teheran,BES,,8/30/2022,,,,,,
2022/2480,VG 27 K 0246/22 V,8/15/2022,Iran,Teheran,BES,,8/29/2022,,,,,,
2022/2312,VG 19 AR 0002/22 V,8/15/2022,Türkei,Ankara,BES,,,,,,,,
2022/2311,VG 16 K 0550/22 V,8/15/2022,Eritrea,Addis Abeba,FZ-E,,,,,,,,
2022/2310,VG 16 K 0556/22 V,8/15/2022,Kuba,Havanna,BES,,,,,,,,
2022/2309,VG 18 K 0293/22 V,8/15/2022,Iran,Teheran,BES,,8/29/2022,,,,,,
2022/2308,VG 19 L 0274/22 V,8/15/2022,Afghanistan,Teheran,FZ-F,§ 36 I,9/29/2022,,,,,,
2022/2307,VG 38 K 0168/22 V,8/15/2022,Iran,Teheran,FZ-K,LU,,,,,,,
2022/2306,VG 16 K 0559/22 V,8/15/2022,Katar,Doha,BES,MED;#AZR-SIS,,,,,,,
2022/2305,VG 16 K 0557/22 V,8/15/2022,Albanien,Tirana,FZ-E,,,,,,,,
2022/2304,VG 18 K 0290/22 V,8/15/2022,Ägypten,Kairo,BES,,,,,,,,
2022/2303,VG 16 K 0552/22 V,8/15/2022,Kamerun,Minsk,SPR,,,,,,,,
2022/2302,VG 11 K 0368/22 V,8/15/2022,Indien,New Delhi,BES,,,,,,,,
2022/2331,VG 21 K 0308/22 V,8/12/2022,Nordmazedonien,Skopje,EWT,§ 26 II BV,,,,,,,
2022/2300,VG 08 L 0338/22 V,8/12/2022,Syrien,OFFEN,FZ-F,SUB,,,,,,,
2022/2299,VG 15 K 0219/22 V,8/12/2022,Syrien,Beirut,BES,,,,,,,,
2022/2298,VG 15 K 0220/22 V,8/12/2022,Türkei,Istanbul,WDK,,,,,,,,
2022/2297,VG 14 K 1205/22 V,8/12/2022,Pakistan,Islamabad,BES,,,,,,,,
2022/2296,VG 14 K 1206/22 V,8/12/2022,Afghanistan,OFFEN,SON,§ 22,,,,,,,
2022/2295,VG 14 K 1207/22 V,8/12/2022,Pakistan,Islamabad,FZ-E,SE,,,,,,,
2022/2294,VG 15 K 0218/22 V,8/12/2022,Somalia,Nairobi,FZ-K,,,,,,,,
2022/2323,VG 19 K 0270/22 V,8/11/2022,Nordmazedonien,Skopje,EWT,Ausbildung,,,,,,,
2022/2293,VG 14 K 1203/22 V,8/11/2022,Syrien,Beirut,WDE,,,,,,,,
2022/2292,VG 08 K 0318/22 V,8/11/2022,Somalia,Nairobi,FZ-E/K,UT;#SUB,,,,,,,
2022/2291,VG 08 K 0304/22 V,8/11/2022,Eritrea,Addis Abeba,FZ-E/K,SUB,,,,,,,
2022/2289,VG 12 K 0167/22 V,8/11/2022,Tunesien,Tunis,BES,,,,,,,,
2022/2288,VG 16 L 0553/22 V,8/11/2022,Iran,Teheran,FZ-E,,,,,,,,
2022/2287,VG 08 K 0324/22 V,8/11/2022,Syrien,Erbil,FZ-E,,,,,,,,
2022/2286,VG 11 K 0346/22 V,8/11/2022,Indien,New Delhi,FZ-E,Dt,,,,,,,
2022/2283,VG 09 K 0349/22 V,8/11/2022,China,Kanton,FZ-E/K,,,,,,,,
2022/2282,VG 37 K 1596/22 V,8/11/2022,Kosovo,Pristina,BES,,9/19/2022,,,,,,
2022/2280,VG 17 L 0199/22 V,8/11/2022,Kosovo,Pristina,FZ-E,,9/9/2022,,,,,,
2022/2090,VG 16 K 0554/22 V,8/11/2022,Iran,Teheran,FZ-E,,,,,,,,
2022/2347,VG 20 K 0307/22 V,8/10/2022,Tunesien,Tunis,FZ-E,,,,,,,,
2022/2317,VG 18 K 0296/22 V,8/10/2022,Bosnien und Herzegowina,Sarajewo,?,Dt,8/27/2022,,,,,,
2022/2284,VG 20 K 0283/22 V,8/10/2022,Ägypten,Kairo,BES,,,,,,,,
2022/2281,VG 12 K 0161/22 V,8/10/2022,Russland,Moskau,FZ-E,LU;#Dt,,,,,,,
2022/2279,VG 25 K 0265/22 V,8/10/2022,Marokko,Rabat,FZ-F,,,,,,,,
2022/2278,VG 25 K 0259/22 V,8/10/2022,Türkei,Ankara,BES,,,,,,,,
2022/2277,VG 14 L 1204/22 V,8/10/2022,Syrien,Beirut,BES,,8/23/2022,,,,,,
2022/2276,VG 12 K 0163/22 V,8/10/2022,Syrien,Beirut,BES,,,,,,,,
2022/2275,VG 12 K 0166/22 V,8/10/2022,Guinea,Conakry,FZ-K,UT,,,,,,,
2022/2274,VG 09 K 0347/22 V,8/10/2022,Pakistan,Karachi,FZ-E,LU,,,,,,,
2022/2273,VG 12 K 0162/22 V,8/10/2022,Türkei,Ankara,BES,,,,,,,,
2022/2272,VG 08 K 0326/22 V,8/10/2022,Syrien,Erbil,FZ-E,EHEwi,,,,,,,
2022/2271,VG 09 K 0346/22 V,8/10/2022,Pakistan,Islamabad,FZ-E,,,,,,,,
2022/2269,VG 04 K 0346/22 V,8/10/2022,Tunesien,Izmir,FZ-E,SE,,,,,,,
2022/2410,VG 13 K 0217/22 V,8/9/2022,Nordmazedonien,Skopje,FZ-E/K,LU,,,,,,,
2022/2353,VG 16 K 0555/22 V,8/9/2022,Ägypten,Kairo,FZ-E,,,,,,,,
2022/2313,VG 22 K 0234/22 V,8/9/2022,Ägypten,Kairo,?,,8/23/2022,,,,,,
2022/2270,VG 09 K 0348/22 V,8/9/2022,Nordmazedonien,Skopje,?,,,,,,,,
2022/2268,VG 37 K 0163/22 V,8/9/2022,Iran,Teheran,BES,,,,,,,,
2022/2267,VG 09 K 0350/22 V,8/9/2022,Syrien,Erbil,FZ-E,Dt,,,,,,,
2022/2266,VG 08 AR 0012/22 V,8/9/2022,Iran,Teheran,BES,,,,,,,,
2022/2265,VG 08 K 0363/22 V,8/9/2022,Afghanistan,Teheran,FZ-E,SUB,,,,,,,
2022/2264,VG 09 K 0352/22 V,8/9/2022,Eritrea,Addis Abeba,FZ-E/K,GFK,,,,,,,
2022/2263,VG 08 AR 0013/22 V,8/9/2022,Philippinen,Bangkok,BES,,,,,,,,
2022/2242,VG 37 K 0160/22 V,8/9/2022,Iran,Istanbul,BES,,8/26/2022,,,,,,
2022/2214,VG 06 K 0217/22 V,8/9/2022,Afghanistan,Teheran,FZ-E,EHEwi,,,,,,,
2022/2209,VG 06 L 0213/22 V,8/9/2022,Iran,Teheran,BES,,,,,,,,
2022/2261,VG 08 K 0328/22 V,8/8/2022,Irak,Bagdad,WDE,,,,,,,,
2022/2260,VG 08 K 0327/22 V,8/8/2022,Syrien,Beirut,FZ-E,SUB,,,,,,,
2022/2258,VG 08 K 0325/22 V,8/8/2022,Syrien,Erbil,FZ-E,SUB;#EHEwi,,,,,,,
2022/2257,VG 08 K 0332/22 V,8/8/2022,Nordmazedonien,Skopje,FZ-K,,,,,,,,
2022/2256,VG 08 L 0331/22 V,8/8/2022,Nordmazedonien,Skopje,FZ-K,,,,,,,,
2022/2255,VG 08 AR 0011/22 V,8/8/2022,Kuba,Havanna,BES,,9/8/2022,,,,,,
2022/2254,VG 25 K 0262/22 V,8/8/2022,Irak,Bagdad,FZ-E/K,UT,,,,,,,
2022/2253,VG 08 AR 0010/22 V,8/8/2022,Türkei,Ankara,BES,,,,,,,,
2022/2252,VG 11 K 0367/22 V,8/8/2022,Iran,Teheran,BES,,,,,,,,
2022/2251,VG 11 K 0366/22 V,8/8/2022,Syrien,Beirut,FZ-E/K,LU,,,,,,,
2022/2250,VG 12 K 0164/22 V,8/8/2022,Pakistan,Istanbul,BES,,,,,,,,
2022/2249,VG 10 K 0222/22 V,8/8/2022,Ghana,London,BES,,,,,,,,
2022/2247,VG 09 AR 0020/22 V,8/8/2022,Türkei,OFFEN,BES,,9/7/2022,,,,,,
2022/2248,VG 09 AR 0021/22 V,8/5/2022,Iran,Teheran,BES,,,,,,,,
2022/2246,VG 09 AR 0022/22 V,8/5/2022,Iran,Teheran,BES,,,,,,,,
2022/2245,VG 10 K 0228/22 V,8/5/2022,Simbabwe,Harare,BES,,,,,,,,
2022/2244,VG 10 K 0230/22 V,8/5/2022,Kongo,OFFEN,BES,,,,,,,,
2022/2243,VG 13 L 0207/22 V,8/5/2022,Afghanistan,Islamabad,FZ-K,UT,,,,,,,
2022/2241,VG 07 K 0300/22 V,8/5/2022,Syrien,Beirut,BES,,9/1/2022,,,,,,
2022/2229,VG 07 K 0302/22 V,8/5/2022,Iran,Teheran,BES,,8/26/2022,,,,,,
2022/2240,VG 07 K 0296/22 V,8/4/2022,Eritrea,Addis Abeba,FZ-E,GFK;#ID;#EHEwi,,,,,,,
2022/2239,VG 07 K 0293/22 V,8/4/2022,Afghanistan,Istanbul,BES,,,,,,,,
2022/2238,VG 10 K 0227/22 V,8/4/2022,Nordmazedonien,Skopje,FZ-E,LU;#Ausw,,,,,,,
2022/2237,VG 07 K 0294/22 V,8/4/2022,Vietnam,Hanoi,FZ-F,§ 36 II,,,,,,,
2022/2236,VG 07 K 0297/22 V,8/4/2022,Ghana,Accra,STU,,9/12/2022,,,,,,
2022/2235,VG 10 K 0224/22 V,8/4/2022,Eritrea,Khartoum,FZ-K,GFK,,,,,,,
2022/2234,VG 08 K 0330/22 V,8/4/2022,Syrien,Erbil,FZ-K,,,,,,,,
2022/2231,VG 10 K 0223/22 V,8/4/2022,Eritrea,Khartoum,FZ-E,EHEwi;#GFK,,,,,,,
2022/2230,VG 07 K 0298/22 V,8/4/2022,Bangladesch,Dhaka,FZ-E,EU;#LU,,,,,,,
2022/2228,VG 07 K 0303/22 V,8/4/2022,Ägypten,Kairo,BES,,,,,,,,
2022/2227,VG 08 L 0329/22 V,8/4/2022,Syrien,Erbil,FZ-K,,,,,,,,
2022/2226,VG 16 K 0538/22 V,8/4/2022,Vietnam,Hanoi,BES,,,,,,,,
2022/2224,VG 16 K 0543/22 V,8/4/2022,Staatenlos,Beirut,FZ-F,§ 36 II,,,,,,,
2022/2223,VG 11 K 0363/22 V,8/4/2022,Syrien,Beirut,BES,,,,,,,,
2022/2210,VG 06 K 0218/22 V,8/4/2022,Pakistan,Islamabad,FZ-F,§ 36 II,,,,,,,
2022/2222,VG 37 K 0008/22 V,8/3/2022,Syrien,Beirut,FZ-E,Dt,8/12/2022,,,,,,
2022/2221,VG 37 AR 0007/22 V,8/3/2022,Bosnien und Herzegowina,Laibach,EWT,,,,,,,,
2022/2220,VG 37 AR 0006/22 V,8/3/2022,Bosnien und Herzegowina,Laibach,EWT,,,,,,,,
2022/2219,VG 08 K 0269/22 V,8/3/2022,Syrien,Istanbul,FZ-F,,,,,,,,
2022/2218,VG 08 K 0299/22 V,8/3/2022,Syrien,Beirut,FZ-E,SUB;#EHEwi,,,,,,,
2022/2217,VG 06 L 0209/22 V,8/3/2022,Iran,Teheran,BES,,,,,,,,
2022/2216,VG 08 K 0289/22 V,8/3/2022,Irak,Bagdad,FZ-E/K,,,,,,,,
2022/2215,VG 06 K 0216/22 V,8/3/2022,Kamerun,Jaunde,BES,,,,,,,,
2022/2212,VG 06 K 0208/22 V,8/3/2022,Syrien,Beirut,FZ-E,,,,,,,,
2022/2211,VG 25 K 0263/22 V,8/3/2022,China,Peking,EWT,EWTse,,,,,,,
2022/2208,VG 25 K 0261/22 V,8/3/2022,Sri Lanka,Colombo,BES,,,,,,,,
2022/2207,VG 04 L 0347/22 V,8/3/2022,Tunesien,Izmir,FZ-E,SE,,,,,,,
2022/2206,VG 35 K 0153/22 V,8/3/2022,Irak,Beirut,FZ-K,,,,,,,,
2022/2205,VG 01 K 0275/22 V,8/3/2022,Iran,Teheran,BES,,,,,,,,
2022/2204,VG 35 K 0152/22 V,8/3/2022,Syrien,Erbil,FZ-F,§ 36 II,,,,,,,
2022/2202,VG 04 K 0351/22 V,8/3/2022,Guinea,Conakry,BES,,,,,,,,
2022/2201,VG 04 K 0343/22 V,8/3/2022,Indien,New Delhi,BES,,,,,,,,
2022/2200,VG 01 K 0272/22 V,8/3/2022,Pakistan,Islamabad,FZ-E,UT,8/18/2022,,,,,,
2022/2199,VG 35 K 0151/22 V,8/3/2022,Bosnien und Herzegowina,Laibach,EWT,EWTunse,9/19/2022,,,,,,
2022/2198,VG 04 K 0349/22 V,8/3/2022,Nigeria,Lagos,BES,,8/15/2022,,,,,,
2022/2195,VG 06 L 0211/22 V,8/3/2022,Iran,Teheran,BES,,,,,,,,
2022/2232,VG 10 L 0225/22 V,8/2/2022,Marokko,Rabat,FZ-E,VIK,8/29/2022,OVG 12 S 033/22,9/15/2022,,,,
2022/2203,VG 06 K 0215/22 V,8/2/2022,Staatenlos,Beirut,FZ-E,LU,,,,,,,
2022/2197,VG 08 K 0234/22 V,8/2/2022,Syrien,Beirut,FZ-E,,,,,,,,
2022/2196,VG 30 K 0329/22 V,8/2/2022,Syrien,Erbil,FZ-K,UT,,,,,,,
2022/2194,VG 08 K 0235/22 V,8/2/2022,Syrien,Beirut,FZ-K,,,,,,,,
2022/2193,VG 07 L 0299/22 V,8/2/2022,Pakistan,Islamabad,FZ-K,TER,,,,,,,
2022/2192,VG 08 K 0233/22 V,8/2/2022,Syrien,Beirut,FZ-K,SUB,,,,,,,
2022/2191,VG 08 K 0219/22 V,8/2/2022,Afghanistan,New Delhi,FZ-E,,,,,,,,
2022/2190,VG 38 K 0164/22 V,8/2/2022,Bosnien und Herzegowina,Sarajewo,FZ-E/K,SE,,,,,,,
2022/2189,VG 38 K 0165/22 V,8/2/2022,Eritrea,Addis Abeba,FZ-E/K,GFK;#UT,,,,,,,
2022/2188,VG 38 K 0167/22 V,8/2/2022,Indien,New Delhi,FZ-E/K,,,,,,,,
2022/2187,VG 34 K 0205/22 V,8/2/2022,Afghanistan,Islamabad,FZ-E/K,UT;#TER,,,,,,,
2022/2186,VG 05 K 0685/22 V,8/2/2022,Tansania,Daressalam,FZ-E,SE,,,,,,,
2022/2185,VG 34 K 0207/22 V,8/2/2022,Irak,Erbil,FZ-E,Dt,,,,,,,
2022/2184,VG 05 K 0684/22 V,8/2/2022,Kosovo,Pristina,EWT,§ 26 II BV,,,,,,,
2022/2183,VG 04 K 0342/22 V,8/2/2022,Syrien,Beirut,BES,,,,,,,,
2022/2182,VG 05 K 0683/22 V,8/2/2022,Eritrea,Khartoum,FZ-E,Dt,,,,,,,
2022/2181,VG 01 K 0277/22 V,8/2/2022,Syrien,Beirut,BES,,,,,,,,
2022/2180,VG 01 K 0278/22 V,8/2/2022,Afghanistan,Teheran,FZ-E,,,,,,,,
2022/2179,VG 01 K 0276/22 V,8/2/2022,Indien,New Delhi,FZ-E,LU,,,,,,,
2022/2178,VG 37 AR 0005/22 V,8/2/2022,Bosnien und Herzegowina,Laibach,?,,,,,,,,
2022/2177,VG 37 AR 0004/22 V,8/2/2022,Iran,Teheran,BES,,8/18/2022,,,,,,
2022/2176,VG 01 K 0274/22 V,8/2/2022,Irak,Bagdad,BES,,,,,,,,
2022/2175,VG 18 K 0202/22 V,8/2/2022,Irak,Bagdad,FZ-E,,,,,,,,
2022/2164,VG 05 K 0679/22 V,8/2/2022,Marokko,Rabat,FZ-E,,,,,,,,
2022/2159,VG 01 K 0273/22 V,8/2/2022,Sri Lanka,Colombo,FZ-K,,,,,,,,
2022/2174,VG 03 K 0219/22 V,8/1/2022,Afghanistan,Islamabad,FZ-E,TER;#UT,,,,,,,
2022/2173,VG 03 K 0218/22 V,8/1/2022,Tunesien,Tunis,FZ-E,SE,,,,,,,
2022/2172,VG 03 K 0214/22 V,8/1/2022,Türkei,Ankara,BES,,,,,,,,
2022/2171,VG 03 K 0213/22 V,8/1/2022,Syrien,Erbil,FZ-E/K,,,,,,,,
2022/2170,VG 01 K 0271/22 V,8/1/2022,China,Kanton,STU,,,,,,,,
2022/2169,VG 03 K 0222/22 V,8/1/2022,Türkei,Ankara,BES,,8/29/2022,,,,,,
2022/2168,VG 03 K 0221/22 V,8/1/2022,Türkei,Ankara,BES,,,,,,,,
2022/2167,VG 05 K 0682/22 V,8/1/2022,Eritrea,Addis Abeba,FZ-E,UT;#GFK,,,,,,,
2022/2166,VG 34 K 0204/22 V,8/1/2022,Syrien,Beirut,FZ-E,,,,,,,,
2022/2165,VG 05 K 0681/22 V,8/1/2022,Vietnam,Hanoi,FZ-E,SE,,,,,,,
2022/2163,VG 05 K 0678/22 V,8/1/2022,Iran,Teheran,BES,,,,,,,,
2022/2161,VG 05 K 0675/22 V,8/1/2022,Syrien,Erbil,FZ-E,GFK;#LU,,,,,,,
2022/2160,VG 08 K 0321/22 V,8/1/2022,Pakistan,Karachi,FZ-E,§ 36 II,,,,,,,
2022/2157,VG 03 K 0212/22 V,8/1/2022,Pakistan,Karachi,FZ-E,UT,,,,,,,
2022/2351,VG 01 K 0343/22 V,7/29/2022,Irak,Erbil,?,,8/15/2022,,,,,,
2022/2162,VG 05 AR 0005/22 V,7/29/2022,Iran,Teheran,BES,,8/25/2022,,,,,,
2022/2158,VG 34 K 0206/22 V,7/29/2022,Syrien,Beirut,FZ-F,§ 36 II,,,,,,,
2022/2156,VG 01 K 0235/22 V,7/28/2022,Philippinen,Manila,SON,,,,,,,,
2022/2155,VG 31 K 0191/22 V,7/28/2022,Nigeria,Lagos,BES,,,,,,,,
2022/2154,VG 31 K 0190/22 V,7/28/2022,Venezuela,Amman,STU,,9/8/2022,,,,,,
2022/2153,VG 31 K 0192/22 V,7/28/2022,Syrien,Beirut,BES,,,,,,,,
2022/2142,VG 36 K 0329/22 V,7/28/2022,Nigeria,Lagos,BES,,,,,,,,
2022/2025,VG 32 K 0133/22 V,7/28/2022,Kosovo,Pristina,FZ-E,,,,,,,,
2022/2152,VG 25 AR 0006/22 V,7/27/2022,Iran,Teheran,BES,,,,,,,,
2022/2150,VG 36 K 0332/22 V,7/27/2022,Marokko,Doha,BES,,,,,,,,
2022/2148,VG 36 K 0331/22 V,7/27/2022,Pakistan,Islamabad,BES,,,,,,,,
2022/2148,VG 36 L 0356/22 V,7/27/2022,Pakistan,Islamabad,BES,,8/30/2022,,,,,,
2022/2147,VG 36 K 0330/22 V,7/27/2022,Türkei,Ankara,BES,,,,,,,,
2022/2146,VG 08 K 0320/22 V,7/27/2022,Syrien,Beirut,FZ-E/K,,,,,,,,
2022/2145,VG 25 K 0260/22 V,7/27/2022,Afghanistan,Teheran,FZ-E,,,,,,,,
2022/2144,VG 34 K 0199/22 V,7/27/2022,Irak,Erbil,FZ-E,,,,,,,,
2022/2143,VG 35 K 0149/22 V,7/27/2022,Türkei,Ankara,BES,,8/24/2022,,,,,,
2022/2141,VG 39 K 0341/22 V,7/27/2022,Iran,Teheran,BES,,,,,,,,
2022/2140,VG 39 K 0340/22 V,7/27/2022,Kosovo,Pristina,FZ-E,Dt,,,,,,,
2022/2139,VG 39 K 0337/22 V,7/27/2022,Türkei,Istanbul,EWT,EWTse,,,,,,,
2022/2138,VG 39 K 0336/22 V,7/27/2022,Türkei,Ankara,BES,,8/11/2022,,,,,,
2022/2137,VG 39 K 0338/22 V,7/27/2022,Libanon,Beirut,BES,,8/1/2022,,,,,,
2022/2136,VG 39 K 0334/22 V,7/27/2022,Irak,Erbil,FZ-E,,,,,,,,
2022/2135,VG 39 K 0339/22 V,7/27/2022,Jordanien,Amman,BES,,,,,,,,
2022/2134,VG 39 K 0335/22 V,7/27/2022,Afghanistan,Teheran,FZ-E,EHEwi,,,,,,,
2022/2132,VG 39 K 0331/22 V,7/27/2022,Türkei,Istanbul,BES,,,,,,,,
2022/2131,VG 38 K 0160/22 V,7/27/2022,Pakistan,Islamabad,BES,,8/11/2022,,,,,,
2022/2130,VG 38 L 0159/22 V,7/27/2022,Pakistan,Islamabad,BES,,8/11/2022,,,,,,
